Rec	Cyc	Step	TestTime	StepTime	Amphr	Watthr	Amps	Volts	State	ACImpOhms
176	1	5	0d 02:53:0.00999999977648258	0d 02:52:0.00999999977648258	0.00143	0.00589	0.00050	4.07622	D	2.26676
177	1	5	0d 02:54:0.00999999977648258	0d 02:53:0.00999999977648258	0.00144	0.00592	0.00050	4.07561	D	2.26676
178	1	5	0d 02:55:0.00999999977648258	0d 02:54:0.00999999977648258	0.00145	0.00596	0.00050	4.07546	D	2.26676
179	1	5	0d 02:56:0.00999999977648258	0d 02:55:0.00999999977648258	0.00146	0.00599	0.00050	4.07515	D	2.26676
180	1	5	0d 02:57:0.00999999977648258	0d 02:56:0.00999999977648258	0.00147	0.00602	0.00050	4.07485	D	2.26676
181	1	5	0d 02:58:0.00999999977648258	0d 02:57:0.00999999977648258	0.00148	0.00606	0.00050	4.07439	D	2.26676
182	1	5	0d 02:59:0.00999999977648258	0d 02:58:0.00999999977648258	0.00148	0.00609	0.00050	4.07408	D	2.26676
183	1	5	0d 03:00:0.00999999977648258	0d 02:59:0.00999999977648258	0.00149	0.00613	0.00050	4.07378	D	2.26676
184	1	5	0d 03:01:0.00999999977648258	0d 03:00:0.00999999977648258	0.00150	0.00616	0.00050	4.07332	D	2.26676
185	1	5	0d 03:02:0.00999999977648258	0d 03:01:0.00999999977648258	0.00151	0.00619	0.00050	4.07301	D	2.26676
186	1	5	0d 03:03:0.00999999977648258	0d 03:02:0.00999999977648258	0.00152	0.00623	0.00050	4.07263	D	2.26676
187	1	5	0d 03:04:0.00999999977648258	0d 03:03:0.00999999977648258	0.00153	0.00626	0.00050	4.07233	D	2.26676
188	1	5	0d 03:05:0.00999999977648258	0d 03:04:0.00999999977648258	0.00153	0.00630	0.00050	4.07187	D	2.26676
189	1	5	0d 03:06:0.00999999977648258	0d 03:05:0.00999999977648258	0.00154	0.00633	0.00050	4.07172	D	2.26676
190	1	5	0d 03:07:0.00999999977648258	0d 03:06:0.00999999977648258	0.00155	0.00636	0.00050	4.07134	D	2.26676
191	1	5	0d 03:08:0.00999999977648258	0d 03:07:0.00999999977648258	0.00156	0.00640	0.00050	4.07095	D	2.26676
192	1	5	0d 03:09:0.00999999977648258	0d 03:08:0.00999999977648258	0.00157	0.00643	0.00050	4.07065	D	2.26676
193	1	5	0d 03:10:0.00999999977648258	0d 03:09:0.00999999977648258	0.00158	0.00647	0.00050	4.07019	D	2.26676
194	1	5	0d 03:11:0.00999999977648258	0d 03:10:0.00999999977648258	0.00158	0.00650	0.00050	4.06996	D	2.26676
195	1	5	0d 03:12:0.00999999977648258	0d 03:11:0.00999999977648258	0.00159	0.00653	0.00050	4.06958	D	2.26676
196	1	5	0d 03:13:0.00999999977648258	0d 03:12:0.00999999977648258	0.00160	0.00657	0.00050	4.06928	D	2.26676
